city,state,country,shape,comments,latitude,longitude,date,time,datetime
newcastle upon tyne (uk/england),,United Kingdom,unknown,Well I was watching a movie with my girlfriend.We live on the sixth floor of an 8 storey building. All of a sudden a very bright light,54.988056,-1.619444,2006-05-20,01:20,2006-05-20 01:20
bowland&#44 lancashire (uk/england),,Uk/england,changing,Spacecraft land in bowland,53.962873,-2.745362,2006-05-20,13:00,2006-05-20 13:00
accrington&#44 lancashire (uk/england),,Uk/england,changing,Sighting in the forest of bowland,53.753609,-2.37218,2006-05-20,13:30,2006-05-20 13:30
bucharest (romania),,Romaina,flash,Flash over Bucharest&#44 mid day - very strange,44.4325,26.103889,2006-05-20,13:30,2006-05-20 13:30
ferizaj (kosovo),,Kosovo,triangle,At ~1800 HLT at least 15 people spotted three triangular aircraft hovering.,42.372541,21.147384,2011-05-20,18:00,2011-05-20 18:00
glasgow (uk/scotland),,United Kingdom,cylinder,2 craft - fast moving - strange design - unconventional motion - red light pulse mobilising the craft - would raf allow new jets in urb,55.833333,-4.25,2000-05-21,04:50,2000-05-21 04:50
budapest (hungary),,Hungary,light,small star became very bright light. Faded back to star and moved away.,47.497912,19.040235,2001-05-21,22:00,2001-05-21 22:00
son en breugel (netherlands),,Netherlands,fireball,a black shaped object with a red light&#44 like fire&#44 advancing it&#44 it flew over soundless&#44 from the south to the north.,51.524896,5.461625,2005-05-21,22:00,2005-05-21 22:00
oxford (uk/england),,United Kingdom,cigar,cigar rotating from end toend the size of 2jumboes,51.75,-1.25,2007-05-21,24:00,2007-05-21 24:00
kaunas (lithuania),,Lithuania,disk,Disk shapped grey&amp;black object with red lamps making huge noise like its crashing. 500 Lights On Object0: Yes,54.898521,23.903597,2009-05-21,23:03,2009-05-21 23:03
lule&aring; (sweden),,Sweden,triangle,Triangular shaped formation of bright yellow dots over Lule&aring;&#44 Sweden,65.584819,22.156703,2011-05-21,18:00,2011-05-21 18:00
espoo (finland),,Finland,triangle,((HOAX??))  triangle with eight lights,60.205491,24.6559,2011-05-21,22:00,2011-05-21 22:00
marouga (trinidad/tobago),,Fuck,other,I saw about 5 - 6 lights in a circle small but very bright moving a little slow over a agricultural area in my country close to the for,38.075866,23.986755,2007-05-02,04:00,2007-05-02 04:00
coningsby (uk/england),,United Kingdom,sphere,Ball of light travelling in straight line over Lincolnshire in the clear night sky,53.116667,-0.166667,2009-05-02,21:20,2009-05-02 21:20
iochwinnoch (uk/scotland),,United Kingdom,circle,Glowing orange/red ball moving silently through night sky with three witnesses,55.795808,-4.630246,2009-05-02,22:30,2009-05-02 22:30
birmingham (uk/england),,United Kingdom,sphere,U.F.O seen over Birmingham U.K. 2nd May 2009,52.466667,-1.916667,2009-05-02,22:35,2009-05-02 22:35
douglas (isle of man)(uk/england),,United Kingdom,fireball,Bright round orange/amber glowing object travelling SW at approx 7000ft over Douglas&#44 Isle of Man.,55.55,-3.85,2012-05-02,22:00,2012-05-02 22:00
nis (yugoslavia),,Fuck,other,Srebrn kurac u nebu,43.3,21.9,2001-05-22,03:23,2001-05-22 03:23
la roche en ardennes (belgium),,Belgium,circle,a circled object that was as good as gone in about 10 seconds.  10 lights around the object that lightened the whole sky,50.181616,5.575921,2004-05-22,02:00,2004-05-22 02:00
leusden (netherlands),,Netherlands,teardrop,I saw just one UFO flying in the vicinity of my house. The shape of the craft was like a drop. When it moved&#44 it was gray&#44 but when it,52.118759,5.40633,2004-05-22,13:00,2004-05-22 13:00
ellesmere port (uk/england),,United Kingdom,other,What shocked us was the movement and the amount of time the object was visible for.,53.283333,-2.9,2007-05-22,21:00,2007-05-22 21:00
handforth (uk/england),,United Kingdom,unknown,came over the house in distance wet past my window and disappared,53.35,-2.216667,2010-05-22,22:25,2010-05-22 22:25
mansfield (uk/england),,United Kingdom,fireball,5+ fiery balls moving at high speed with direction changes.,53.133333,-1.2,2010-05-22,22:28,2010-05-22 22:28
t&oslash;nsberg (norway),,Norway,triangle,8 yellow dots forming a triangle in the skies.,59.26757,10.407561,2011-05-22,02:05,2011-05-22 02:05
