city,state,country,shape,duration (seconds),duration (hours/min),date posted,latitude,longitude,date,time
chateauqua,ny,United States,formation,1200.0,20 min,10/27/2004,42.209774,-79.466844,10/10/2004,19:00
ripley,ny,United States,circle,900.0,15 min,10/27/2004,42.2669444,-79.7108333,10/10/2004,19:00
faribault,mn,United States,flash,900.0,1/2 hour,10/27/2004,44.295,-93.2686111,10/10/2004,21:00
mansfield,oh,United States,light,7200.0,a few hours,10/27/2004,40.7583333,-82.5155556,10/10/2004,21:00
columbia,mo,United States,light,60.0,1 min,11/28/2007,38.9516667,-92.3338889,10/10/2004,22:00
gleason,wi,United States,sphere,3000.0,45-50 mins,9/2/2005,45.3088889,-89.4963889,10/10/2004,23:30
seattle,wa,United States,other,60.0,one + minutes,10/11/2005,47.6063889,-122.3308333,10/10/2005,07:40
apache junction,az,United States,other,30.0,30 seconds,10/11/2005,33.415,-111.5488889,10/10/2005,09:00
north miami beach,fl,United States,oval,1800.0,30 minutes,10/20/2005,25.9327778,-80.1627778,10/10/2005,09:30
los angeles,ca,United States,egg,10.0,10 seconds,10/20/2005,34.0522222,-118.2427778,10/10/2005,14:45
loretto,pa,United States,triangle,300.0,5 minutes,10/30/2006,40.5030556,-78.6305556,10/10/2005,20:00
newtown (uk/wales),,United Kingdom,formation,360.0,5/6 minutes,5/15/2006,52.516667,-3.3,10/10/2005,20:00
lewisburg,tn,United States,unknown,240.0,4 minutes,12/7/2006,35.4491667,-86.7888889,10/10/2005,21:00
north miami beach,fl,United States,other,3600.0,60 min,10/11/2005,25.9327778,-80.1627778,10/10/2005,21:30
east wenatchee,wa,United States,light,1200.0,20 min,10/20/2005,47.4158333,-120.2919444,10/10/2005,22:08
hendersonville,nc,United States,light,600.0,10 minutes,10/11/2005,35.3186111,-82.4611111,10/10/2005,23:00
brainerd,mn,United States,disk,300.0,5 min.,10/30/2006,46.3580556,-94.2005556,10/10/2005,23:07
pennington,tx,United States,diamond,3600.0,one hour,2/1/2007,31.1911111,-95.2352778,10/10/2006,01:00
san francisco,ca,United States,triangle,600.0,10 minutes,10/30/2006,37.775,-122.4183333,10/10/2006,05:00
blairsville,ga,United States,unknown,10.0,<10 sec.,10/30/2006,34.8761111,-83.9583333,10/10/2006,12:37
savannah,tn,United States,light,600.0,10 minutes,10/30/2006,35.2247222,-88.2491667,10/10/2006,16:00
