city,state,country,shape,duration (seconds),duration (hours/min),date posted,latitude,longitude,date,time
sunderland (uk/england),,United Kingdom,circle,40.0,40 seconds,10/30/2006,54.911944,-1.383333,10/4/2006,18:30
grays (uk/england),,United Kingdom,fireball,240.0,4 minutes,12/12/2009,51.483333,0.333333,10/4/2009,19:25
ryde (uk/england),,United Kingdom,triangle,7.0,7 seconds,10/14/2013,50.716667,-1.166667,10/4/2013,20:00
newcastle (northumberland) (uk/england),,United Kingdom,triangle,90.0,about 1 min30 secs,3/17/2004,54.2,-5.883333,10/5/1999,22:00
aberdeen (uk/scotland),,United Kingdom,circle,120.0,2 minutes,1/10/2009,57.166667,-2.666667,10/5/2008,18:24
clogher (uk/england),,United Kingdom,fireball,180.0,1-3 minutes,10/14/2013,54.416667,-7.2,10/5/2013,22:00
birmingham (uk/england),,United Kingdom,oval,60.0,1 minute,11/3/2005,52.466667,-1.916667,10/6/1999,14:00
almelo (netherlands),,Netherlands,triangle,10.0,10 seconds,10/12/2001,52.355085,6.659865,10/6/2000,03:45
bladel (brabant) (netherlands),,Netherlands,light,2700.0,45 minutes,10/28/2002,51.362963,5.213639,10/6/2002,24:00
ticknall (near derby) (uk/england),,United Kingdom,cone,40.0,40 secs,11/9/2004,52.8,-1.483333,10/6/2004,17:57
uckfield (uk/england),,United Kingdom,circle,600.0,10 minutes,10/8/2007,50.966667,0.1,10/6/2007,21:30
leamington spa (uk/england),,United Kingdom,light,2.0,a few seconds,12/12/2011,52.3,-1.533333,10/6/2007,22:00
worthing (west sussex) (uk/england),,United Kingdom,,240.0,3-4 mins,4/18/2012,50.8,-0.366667,10/6/2007,22:40
chigwell essex (uk/england),,United Kingdom,other,15.0,15 seconds,10/27/2004,51.626281,0.080647,10/7/1984,19:00
liverpool (uk/england),,United Kingdom,light,10.0,10 seconds,6/12/2008,53.416667,-3.0,10/7/1987,22:00
huddersfield (uk/england),,United Kingdom,circle,120.0,around 2 mins,10/15/2002,53.65,-1.783333,10/7/2002,16:53
harlow&#44 essex (uk/england),,United Kingdom,sphere,30.0,30seconds,10/27/2004,51.767787,0.087806,10/7/2004,11:30
kirby bellars (leicstershire) (uk/england),,United Kingdom,other,20.0,20 seconds,10/11/2005,52.755637,-0.947553,10/7/2005,09:00
derbyshire (uk/england),,United Kingdom,fireball,300.0,3-5 mins,10/30/2006,53.166667,-1.583333,10/7/2006,19:10
haren (netherlands),,Netherlands,light,1200.0,20 minutes,11/28/2007,52.794171,7.236837,10/7/2007,21:00
sheffield (uk/england),,United Kingdom,disk,180.0,3 minutes,10/31/2008,53.366667,-1.5,10/7/2008,19:15
meath (ireland),,Ireland,circle,1800.0,30 minutes,10/30/2012,53.605548,-6.656417,10/7/2012,22:30
kalletal (germany),,Germany,light,600.0,10 min,9/4/2003,52.111,8.9497,10/8/1994,11:30
wigan (uk/england),,United Kingdom,triangle,180.0,3 mins,1/17/2004,53.533333,-2.616667,10/8/2001,00:00
sigulda (latvia),,Latvia,triangle,1.0,1 sec,10/11/2005,57.149563,24.860333,10/8/2005,23:50
split (croatia),,Croatia,disk,1.0,second,1/10/2009,43.508132,16.440193,10/8/2006,21:03
stirling (uk/scotland),,United Kingdom,other,240.0,4 mins,2/18/2001,56.116667,-3.95,10/9/1995,02:00
reading (uk/england),,United Kingdom,sphere,120.0,2 minutes,1/11/2002,51.433333,-1.0,10/9/1998,19:30
london (uk/england),,United Kingdom,other,7200.0,1-2hrs,10/28/2002,51.514125,-0.093689,10/9/1998,21:00
kista (sweden),,Sweden,circle,3.0,1-3 sek,10/15/2003,59.402434,17.946482,10/9/2003,02:15
toulouse (france),,France,light,900.0,15mins,10/15/2003,43.604652,1.444209,10/9/2003,19:10
stoke-on-trent (uk/england),,United Kingdom,light,7200.0,2 hours,10/30/2006,53.0,-2.183333,10/9/2006,20:30
canvey island (uk/england),,United Kingdom,other,73800.0,2 1/2 hours or more,3/4/2008,51.517083,0.578411,10/9/2007,02:30
preston (uk/england),,United Kingdom,disk,180.0,2 to 3 mins,12/19/2003,50.783333,-0.466667,1/10/1971,21:00
gateshead&#44tyne &amp; wear (uk/england),,United Kingdom,other,120.0,2 mins,4/16/2005,54.95268,-1.603411,1/10/1978,16:00
walberswick suffolk (uk/england),,United Kingdom,disk,7200.0,1-2 hours,10/27/2004,52.314994,1.661398,1/10/1978,20:00
bellside/wishaw (uk/scotland),,United Kingdom,sphere,120.0,2 min.,8/5/2001,55.838323,-3.935489,1/10/1988,21:30
london (uk/england),,United Kingdom,circle,240.0,4 mins,9/29/2004,51.514125,-0.093689,1/10/1998,18:00
nottingham (uk/england),,United Kingdom,circle,3.0,3 seconds,1/29/2002,52.966667,-1.166667,1/10/2002,17:25
dunstable (uk/england),,United Kingdom,changing,1800.0,30 mins,1/17/2004,51.883333,-0.516667,1/10/2004,00:00
